Category,Word 1,Word 2,Word 3,Word 4,Answer,clue,,,,,_____ item
before,kiss,toast,poodle,fries,French,_____ item,,,,,item _____
before,bear,circle,fleece,cap,polar,_____ item,,,,,
after,fly,man,sale,arm,fire,item _____,,,,,
after,ire,fin,green,ice,land,item _____,,,,,
after,bermuda,love,right,golden,triangle,item _____,,,,,
before,bow,drop,coat,check,rain,_____ item,,,,,
before,fall,board,mark,works,water,_____ item,,,,,
after,pet,go,ton,away,car,item _____,,,,,
after,bin,din,car,man,go,item _____,,,,,
before,moon,whale,grass,lagoon,blue,_____ item,,,,,
before,birds,affair,potion,interest,love,_____ item,,,,,
before,paper,chip,grease,valley,silicon,_____ item,,,,,
after,toe,log,traffic,strawberry,jam,item _____,,,,,
before,mill,farm,screen,tunnel,wind,_____ item,,,,,
after,some,no,any,busy,body,item _____,,,,,
before,fryer,plane,head,port,air,_____ item,,,,,
after,turn,upper,trench,rain,coat,item _____,,,,,
after,cover,scarlet,chain,love,letter,item _____,,,,,
before,saw,gang,smoke,letter,chain,_____ item,,,,,
before,to,labour,sun,rainy,day,_____ item,,,,,
before,money,orange,bank,brothers,blood,_____ item,,,,,
before,milk,scotch,cream,fingers,butter,_____ item,,,,,
after,horse,tennis,school,dance,shoe,item _____,,,,,
after,boom,carrot,shower,talk,baby,item _____,,,,,
after,dust,dinner,straight,yellow,jacket,item _____,,,,,
after,blue,door,church,dumb,bell,item _____,,,,,
after,chicken,school,fun,coffee,run,item _____,,,,,
after,cross,board,side,speed,walk,item _____,,,,,
after,jack,dragon,bread,kiwi,fruit,item _____,,,,,
after,north,morning,gold,Christmas,star,item _____,,,,,
after,fire,house,butter,dragon,fly,item _____,,,,,
after,dog,drift,holly,sandal,wood,item _____,,,,,
after,flea,family,media,flying,circus,item _____,,,,,
after,fore,type,pod,broad,cast,item _____,,,,,
after,fruit,vampire,baseball,cricket,bat,item _____,,,,,
before,dance,flop,laugh,button,belly,_____ item,,,,,
before,room,legend,proof,large,living,_____ item,,,,,
after,pipe,American,lucid,fever,dream,item _____,,,,,
before,luck,belly,shot,hole,pot,_____ item,,,,,
after,sky,night,black,spot,light,item _____,,,,,
after,American,humble,pumpkin,cottage,pie,item _____,,,,,
before,light,scraper,blue,high,sky,_____ item,,,,,
before,heater,cadet,bar,station,space,_____ item,,,,,
before,guess,fiddle,wind,nature,second,_____ item,,,,,
after,spinning,colour,wagon,roulette,wheel,item _____,,,,,
before,phone,vision,commute,prompter,tele,_____ item,,,,,
after,potato,blue,computer,wood,chip,item _____,,,,,
before,bubble,body,shrink,gift,wrap,_____ item,,,,,
before,raddish,power,shoe,fly,horse,_____ item,,,,,
after,crazy,Charley,dark,gift,horse,item _____,,,,,
before,steel,kettle,ear,oil,drum,_____ item,,,,,
after,chest,coco,hazel,pea,nut,item _____,,,,,
before,hand,plastic,paper,shopping,bag,_____ item,,,,,
before,sausage,hot,corn,guard,dog,_____ item,,,,,
before,butterfly,domino,placebo,side,effect,_____ item,,,,,
before,fleece,parachute,rule,girls,golden,_____ item,,,,,
before,wax,wig,mark,drum,ear,_____ item,,,,,
before,body,sign,love,programming,language,_____ item,,,,,
after,bloody,virgin,typhoid,hail,Mary,item _____,,,,,
after,queen,honey,busy,spelling,bee,item _____,,,,,
after,garage,yard,fire,clearance,sale,item _____,,,,,
before,mud,bird,bubble,sponge,bath,_____ item,,,,,
before,picnic,wet,throw,security,blanket,_____ item,,,,,
before,batter,pong,garden,can,beer,_____ item,,,,,
before,safety,hair,rolling,push,pin,_____ item,,,,,
before,couch,hot,baked,sweet,potato,_____item,,,,,
before,only,poster,flower,problem,child,_____item,,,,,